FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        17.47%        1.798s        51.37%        5.286s     528.604ms        1.463s        11.92%        5.112s     511.234ms           0 b     -15.01 Mb           0 b       1.97 Gb            10  
                        [pl][profile]run_training_batch         0.18%      18.288ms        38.90%        4.004s     444.856ms     170.000us         0.00%        4.590s     510.047ms           0 b           0 b       4.50 Kb      -4.50 Kb             9  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.10%      10.187ms        38.73%        3.985s     442.824ms     418.000us         0.00%        4.590s     510.028ms           0 b           0 b       9.00 Kb           0 b             9  
                              Optimizer.step#AdamW.step        28.27%        2.909s        38.63%        3.975s     441.693ms        3.150s        25.66%        4.590s     509.982ms           0 b           0 b       9.00 Kb      -3.45 Gb             9  
[pl][profile][Strategy]SingleDeviceStrategy.backward...        12.31%        1.267s        12.49%        1.285s     128.491ms        2.584s        21.06%        2.591s     259.145ms         -80 b         -80 b      -2.37 Gb      -2.37 Gb            10  
[pl][profile][Strategy]SingleDeviceStrategy.training...         1.95%     200.820ms        11.47%        1.181s     118.054ms      12.266ms         0.10%        1.601s     160.124ms           0 b           0 b       3.84 Gb     -80.00 Kb            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%       9.956ms         1.42%     145.653ms       4.855ms     188.000us         0.00%        1.506s      50.198ms           0 b           0 b      -1.97 Gb      -2.66 Gb            30  
                                   ConvolutionBackward0         0.10%       9.923ms         1.32%     135.697ms       4.523ms     187.000us         0.00%        1.506s      50.191ms           0 b           0 b     706.33 Mb           0 b            30  
                             aten::convolution_backward         1.09%     112.343ms         1.22%     125.775ms       4.192ms        1.445s        11.77%        1.506s      50.185ms           0 b           0 b     706.33 Mb     480.00 Mb            30  
[pl][module]torch.nn.modules.container.Sequential: m...         0.94%      96.905ms         3.41%     350.877ms      35.088ms       1.197ms         0.01%        1.419s     141.889ms           0 b           0 b       3.84 Gb      -2.20 Gb            10  
                                           aten::conv2d         0.05%       5.517ms         0.68%      69.814ms       2.327ms     612.000us         0.00%     876.078ms      29.203ms           0 b           0 b       2.19 Gb           0 b            30  
                                      aten::convolution         0.08%       8.060ms         0.62%      64.298ms       2.143ms     681.000us         0.01%     875.466ms      29.182ms           0 b           0 b       2.19 Gb           0 b            30  
                                     aten::_convolution         0.17%      17.619ms         0.55%      56.238ms       1.875ms     871.000us         0.01%     874.785ms      29.160ms           0 b           0 b       2.19 Gb           0 b            30  
                                aten::cudnn_convolution         0.21%      21.204ms         0.21%      21.204ms     706.797us     759.986ms         6.19%     759.986ms      25.333ms           0 b           0 b       2.19 Gb       2.19 Gb            30  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.08%       7.761ms         0.38%      38.869ms       1.296ms       1.461ms         0.01%     592.893ms      19.763ms           0 b           0 b     560.00 Mb      -1.64 Gb            30  
                          MaxPool2DWithIndicesBackward0         0.06%       6.129ms         0.30%      31.108ms       1.037ms       1.378ms         0.01%     591.432ms      19.714ms           0 b           0 b       2.19 Gb           0 b            30  
                 aten::max_pool2d_with_indices_backward         0.12%      12.121ms         0.24%      24.979ms     832.633us     532.880ms         4.34%     590.054ms      19.668ms           0 b           0 b       2.19 Gb       2.19 Gb            30  
      [pl][module]torch.nn.modules.conv.Conv2d: model.3         0.08%       8.346ms         0.36%      37.243ms       3.724ms      65.000us         0.00%     399.587ms      39.959ms           0 b           0 b     640.00 Mb           0 b            10  
      [pl][module]torch.nn.modules.conv.Conv2d: model.6         0.06%       6.056ms         0.25%      26.095ms       2.610ms      68.000us         0.00%     353.785ms      35.379ms           0 b           0 b     320.00 Mb           0 b            10  
                                           aten::linear         0.07%       7.391ms         0.28%      28.713ms       1.436ms       3.608ms         0.03%     304.077ms      15.204ms           0 b           0 b      10.05 Mb           0 b            20  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.291s
Self CUDA time total: 12.274s
