FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        24.49%        1.482s        55.40%        3.352s     335.197ms        1.392s        22.67%        3.353s     335.337ms           0 b     -15.01 Mb           0 b     387.87 Mb            10  
                        [pl][profile]run_training_batch         0.28%      16.909ms        36.19%        2.189s     243.269ms      16.661ms         0.27%        2.191s     243.406ms           0 b           0 b       4.50 Kb      -4.50 Kb             9  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.16%       9.429ms        35.91%        2.173s     241.391ms       9.158ms         0.15%        2.174s     241.555ms           0 b           0 b       9.00 Kb           0 b             9  
                              Optimizer.step#AdamW.step        18.20%        1.101s        35.75%        2.163s     240.343ms        1.101s        17.94%        2.165s     240.537ms           0 b           0 b       9.00 Kb    -446.67 Mb             9  
[pl][profile][Strategy]SingleDeviceStrategy.training...         3.91%     236.711ms        20.63%        1.248s     124.802ms     195.234ms         3.18%        1.250s     125.010ms           0 b           0 b     496.31 Mb     -80.00 Kb            10  
[pl][profile][Strategy]SingleDeviceStrategy.backward...        10.90%     659.412ms        11.45%     692.636ms      69.264ms     681.752ms        11.10%     716.565ms      71.656ms         -80 b         -80 b    -452.52 Mb    -452.52 Mb            10  
[pl][module]torchmetrics.classification.accuracy.Mul...         3.70%     223.595ms         8.45%     511.493ms      51.149ms     180.572ms         2.94%     515.202ms      51.520ms           0 b         -40 b       5.00 Kb    -180.00 Kb            10  
[pl][module]torch.nn.modules.container.Sequential: m...         1.81%     109.397ms         7.03%     425.318ms      42.532ms      73.569ms         1.20%     426.520ms      42.652ms           0 b           0 b     496.30 Mb    -282.50 Mb            10  
[pl][profile][Callback]RichProgressBar.on_train_batc...         6.58%     398.268ms         6.58%     398.268ms      39.827ms     401.253ms         6.53%     401.253ms      40.125ms           0 b           0 b           0 b           0 b            10  
                                               aten::to         0.42%      25.376ms         2.89%     175.007ms     472.992us      64.628ms         1.05%     224.953ms     607.981us           0 b           0 b      15.05 Mb           0 b           370  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         0.46%      27.985ms         2.76%     166.950ms      16.695ms      24.379ms         0.40%     168.717ms      16.872ms           0 b           0 b      15.01 Mb           0 b            10  
                                         aten::_to_copy         0.77%      46.301ms         2.47%     149.631ms       1.870ms      37.326ms         0.61%     160.325ms       2.004ms           0 b           0 b      15.05 Mb           0 b            80  
autograd::engine::evaluate_function: ConvolutionBack...         0.26%      15.478ms         1.87%     113.018ms       3.767ms       8.496ms         0.14%     144.676ms       4.823ms           0 b           0 b    -280.19 Mb    -343.75 Mb            30  
                                            aten::copy_         2.00%     120.752ms         2.00%     120.752ms     635.537us     142.352ms         2.32%     142.352ms     749.221us           0 b           0 b           0 b           0 b           190  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.46%      28.116ms         2.23%     134.830ms      13.483ms      25.859ms         0.42%     136.967ms      13.697ms           0 b           0 b      15.01 Mb           0 b            10  
                                   ConvolutionBackward0         0.09%       5.261ms         1.61%      97.541ms       3.251ms     961.000us         0.02%     136.180ms       4.539ms           0 b           0 b      63.56 Mb           0 b            30  
                             aten::convolution_backward         1.31%      79.000ms         1.53%      92.280ms       3.076ms     118.433ms         1.93%     135.219ms       4.507ms           0 b           0 b      63.56 Mb      60.00 Mb            30  
    autograd::engine::evaluate_function: AddmmBackward0         0.30%      18.286ms         1.96%     118.541ms       5.927ms      14.676ms         0.24%     120.498ms       6.025ms           0 b           0 b      40.17 Mb     -12.55 Mb            20  
                                           aten::conv2d         0.14%       8.174ms         1.30%      78.467ms       2.616ms       7.103ms         0.12%     119.810ms       3.994ms           0 b           0 b     280.00 Mb           0 b            30  
                                      aten::convolution         0.18%      11.043ms         1.16%      70.293ms       2.343ms       6.833ms         0.11%     112.707ms       3.757ms           0 b           0 b     280.00 Mb           0 b            30  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.050s
Self CUDA time total: 6.140s
